HOLE:	1230A
LEG:	201
TOP:	0.1519
BOTTOM:	266.3947
DEPTH_WMSF	HSGR	HCGR	HFK	HTHO	HURA	HBHK
m	gAPI	gAPI	%	ppm	ppm	%	
51.3583	5.3792	3.7410	0.0778	0.7391	0.2774	-0.1371
51.5107	5.0162	3.3402	0.0745	0.6308	0.2633	-0.1371
51.6631	5.0001	3.4315	0.0767	0.6467	0.2638	-0.1371
51.8155	5.2833	3.6502	0.0823	0.6839	0.2716	-0.1371
51.9679	5.4228	3.7437	0.0851	0.6976	0.2668	-0.1371
52.1203	5.7345	4.1032	0.0898	0.7850	0.2676	-0.1371
52.2727	5.6488	4.3678	0.0885	0.8767	0.2351	-0.1371
52.4251	5.3657	4.4899	0.0994	0.8524	0.1760	-0.1371
52.5775	5.1038	4.2634	0.0868	0.8534	0.1758	-0.1371
52.7299	5.6769	5.1473	0.1007	1.0546	0.1619	-0.1371
52.8823	6.1676	5.5560	0.1065	1.1512	0.1849	-0.1371
53.0347	6.5070	5.9610	0.1073	1.2754	0.1952	-0.1371
53.1871	6.3240	5.5710	0.0876	1.2663	0.2235	-0.1371
53.3395	6.0217	4.9430	0.0814	1.1021	0.2499	-0.1371
53.4919	5.7448	4.5688	0.0775	1.0054	0.2395	-0.1371
53.6443	5.7205	4.5432	0.0816	0.9729	0.2444	-0.1371
53.7967	5.5180	3.9166	0.0693	0.8448	0.2965	-0.1371
53.9491	5.6149	3.5964	0.0687	0.7462	0.3429	-0.1371
54.1015	5.2290	2.5287	0.0445	0.5468	0.4234	-0.1371
54.2539	6.0364	3.0190	0.0674	0.5693	0.4635	-0.1371
54.4063	6.4073	2.7248	0.0698	0.4616	0.5548	-0.1371
54.5587	6.9638	2.9794	0.0754	0.5099	0.5785	-0.1371
54.7111	6.7588	2.8265	0.0832	0.4156	0.5633	-0.1371
54.8635	6.7175	3.2291	0.0929	0.4874	0.5087	-0.1371
55.0159	6.7210	3.3155	0.0964	0.4944	0.4945	-0.1371
55.1683	6.3367	3.1562	0.0885	0.4897	0.4859	-0.1371
55.3207	6.0329	2.7861	0.0713	0.4722	0.4974	-0.1371
55.4731	5.7650	2.8021	0.0667	0.5042	0.4518	-0.1371
55.6255	5.5514	2.9139	0.0732	0.5021	0.3950	-0.1371
55.7779	4.9705	2.8024	0.0777	0.4399	0.3354	-0.1371
55.9303	4.9587	2.5837	0.0692	0.4199	0.3567	-0.1371
56.0827	5.6074	3.0062	0.0806	0.4880	0.3828	-0.1371
