HOLE: 1230A								
LEG: 201								
LOGGING RUN: DIT/APS/HLDT/SGT/HNGS								
DATE: 3/16/2002		Sea Floor Depth: 5099 mbrf						
Depth	Temp	Pressure						
(mbsf)	(degC)	(bar)						
181.2700	5.30	536.69						
181.6700	5.31	536.90						
182.0800	5.31	536.90						
182.5800	5.31	536.76						
182.9900	5.30	536.62						
183.3900	5.32	536.69						
183.8000	5.33	537.03						
184.3000	5.34	536.97						
184.7100	5.33	537.03						
185.1100	5.32	537.03						
185.5100	5.33	537.17						
185.9200	5.33	537.10						
186.1800	5.32	537.17						
186.4300	5.33	537.24						
186.8300	5.32	537.38						
187.2400	5.34	537.38						
187.7400	5.34	537.38						
188.1400	5.36	537.24						
188.5500	5.35	537.24						
188.9500	5.35	537.38						
189.3600	5.35	537.45						
189.8500	5.31	537.59						
190.2200	5.35	537.59						
190.6000	5.37	537.66						
191.1000	5.35	537.72						
191.5000	5.36	537.72						
191.8700	5.35	537.79						
192.2600	5.37	538.00						
192.5200	5.35	538.00						
192.7600	5.36	538.00						
193.1500	5.34	537.86						
193.6500	5.37	537.93						
194.0300	5.38	538.21						
194.4100	5.36	538.21						
194.8900	5.36	538.28						
195.2800	5.36	538.14						
195.6700	5.35	538.14						
196.0600	5.40	538.28						
196.4600	5.38	538.34						
196.9500	5.38	538.34						
197.3600	5.37	538.34						
197.7600	5.39	538.34						
198.1600	5.39	538.41						
198.4100	5.39	538.69						
198.6700	5.38	538.76						
199.0700	5.41	538.48						
199.4700	5.40	538.48						
199.8800	5.40	538.69						
200.2800	5.40	538.97						
200.7900	5.41	538.90						
201.1900	5.43	538.90						
201.5900	5.44	538.76						
201.9900	5.41	538.90						
202.4800	5.41	539.03						
202.8600	5.42	539.10						
203.2400	5.44	538.97						
203.6300	5.44	539.24						
204.0100	5.42	539.24						
204.5000	5.44	539.31						
204.8600	5.44	539.24						
205.2200	5.43	539.24						
205.4400	5.43	539.31						
205.6600	5.46	539.31						
206.0300	5.43	539.38						
206.4300	5.43	539.59						
206.8300	5.46	539.52						
207.2100	5.45	539.59						
207.6600	5.45	539.66						
208.0400	5.44	539.72						
208.4100	5.45	539.72						
208.9000	5.45	539.86						
209.3000	5.48	539.86						
209.7000	5.48	539.72						
210.1800	5.49	539.86						
210.5600	5.48	539.86						
210.7400	5.50	540.07						
210.9500	5.51	540.14						
211.4400	5.51	540.00						
211.8200	5.51	540.00						
212.1800	5.50	540.00						
212.5600	5.52	540.21						
213.0300	5.51	540.34						
213.4200	5.54	540.41						
213.8000	5.52	540.34						
214.1800	5.52	540.41						
214.5600	5.53	540.41						
215.0400	5.56	540.34						
