HOLE:	1249A
LEG:	204
TOP:	0.0241
BOTTOM:	90.1839
DEPTH_LSF	BDAV	BMAV	BSAV	RING	RBIT
m	ohmm	ohmm	ohmm	ohmm	ohmm		
11.5150	5.0495	4.2712	2.6319	4.8113	4.6938
11.5455	5.1324	4.3169	2.7112	4.8998	4.6599
11.5760	5.0151	4.3118	2.8830	5.0941	4.7229
11.6065	4.8361	4.3613	2.7514	4.8051	4.7621
11.6370	4.6099	4.5078	2.7506	5.0947	4.7942
11.6674	4.5110	5.0049	2.7277	5.1538	4.7628
11.6979	5.1475	5.2382	2.7556	5.3482	4.7033
11.7284	4.6834	4.7172	3.2139	5.2270	4.7847
11.7589	4.7884	4.4705	3.3512	4.8482	4.7664
11.7894	5.0324	4.3441	2.9197	4.6656	4.7992
11.8198	5.0010	4.2877	2.7018	4.2107	4.8638
11.8503	4.6831	4.2430	2.6305	4.4556	4.8097
11.8808	5.1598	4.2247	2.5477	4.5932	4.8755
11.9113	4.5069	4.1310	2.4023	4.5875	4.9314
11.9418	4.4911	4.1160	2.3184	4.8100	4.9107
11.9722	4.9561	4.1690	2.4282	4.9131	5.0102
12.0027	4.4892	4.1055	2.4600	4.3687	4.9743
12.0332	4.1336	3.8587	2.3304	4.7669	5.1385
12.0637	3.9306	3.6378	2.2717	4.8245	5.2359
12.0942	3.8258	3.4944	2.0045	4.1294	5.0968
12.1246	3.7248	3.5198	1.7925	4.2627	5.2414
12.1551	3.8484	3.4766	1.9008	4.2569	5.3065
12.1856	3.9514	3.3232	1.5042	4.1559	5.1995
12.2161	3.9022	3.1350	1.6327	4.1077	5.2745
12.2466	3.6681	3.0629	1.6820	3.9997	5.2261
12.2770	3.7633	3.2802	1.6441	4.0301	5.0589
12.3075	3.9149	2.7178	1.6398	4.0788	5.2023
12.3380	3.8295	2.7886	1.3213	4.0900	5.1171
12.3685	3.8369	2.8251	1.3804	4.0882	5.2131
12.3990	3.8675	2.8605	1.3881	4.0413	5.2664
12.4294	3.9220	3.1646	1.3201	3.9897	5.1930
